product_id,product_name,category,unit_price
1,The Silent Orchard,Fiction,12.99
2,Mystery at Midnight,Mystery,9.50
3,Coding for Kids,Children's,15.00
4,Stars and Silence,Sci-Fi,11.25
5,The Long Road Home,Fiction,10.99
6,Whispers in the Library,Mystery,8.75
7,Little Explorers Atlas,Children's,13.50
8,Galaxy's Edge,Sci-Fi,14.00
9,A Life in Letters,Biography,16.99
10,The Baking Diaries,Non-fiction,12.50
11,Shadows of Karachi,Mystery,10.25
12,Bedtime Tales for Tiny Hands,Children's,7.99
13,The Time Weaver,Sci-Fi,13.75
14,Steps to Stillness,Non-fiction,9.99
15,Portraits of Courage,Biography,17.50
16,The Orchard Revisited,Fiction,11.50
17,Puzzle of the Lost Key,Mystery,8.99
18,Rockets and Robots,Children's,14.25
19,Beyond the Last Star,Sci-Fi,15.50
20,Notes from a Quiet Life,Non-fiction,10.00
